title,label
fnRASSI씨케이에이치900120 1185 상승,1
fnRASSI씨케이에이치900120 899 상승,1
코스닥人씨케이에이치 화장품·건기식 사업 두마리 토끼 잡겠다,0
fnRASSI씨케이에이치900120 전일대비 1967 상승,1
제목,0
특징주 아이에이 미래차 경쟁력 부각 전기차 등 친환경차 사업 수혜 기대,1
fnRASSI아이에이 085 오르며 거래량 증가,0
카이노스메드 52주 신고가 경신 글로벌 CNS 신약 개발사로의 도약,1
카이노스메드 52주 신고가 경신 글로벌 CNS 신약 개발사로의 도약,1
SK바이오팜 국내 유일 FDA 승인 CNS 치료제 보유 삼성증권,1
자동차 전장 아이에이 1분기 영업익 22억 흑자 전환,1
아이에이 26조원 양자암호통신 시장 선도양자진흥법 통과에 상승,1
fnRASSI아이에이038880 1134 상승,1
아이에이 10 이상 상승 전일 외국인 대량 순매수,1
아이에이 中전기차 부품사업 기술료 47억 추가 수취,0
아이에이 中전기차 부품 사업 기술료 47억원 추가 수취,0
아이에이 10 이상 상승 전일 외국인 대량 순매수,1
아이에이 아이에이네트웍스 지분 및 자사주 취득 주주가치 제고,0
미래차 선점 나선 김동진 아이에이 회장MA 경영 박차,1
아이에이 10 이상 상승 주가 반등 시도 단기·중기 이평선 역배열,1
아이에이 5억원 규모 자기주식 취득 결정,0
아이에이 SW 강자’ 인프라웨어 인수자율주행 사업 박차,1
아이에이 지난해 별도 순이익 100억원흑자전환,1
아이에이 지난해 영업익 27억흑자전환,1
아이에이 10 이상 상승 20193Q 매출액 172억08 영업이익 16억15300,1
제목,0
마켓인사이트아주IB투자 사모 회사채 시장서 운영자금 조달,0
아주IB투자 100억 전환·교환사채 발행,0
아주IB투자·넵튠 등 상승크래프톤 IPO 가까워졌다,1
양광선 아주IB투자 부문장 중소벤처기업부 장관상 수상,0
엑셀러레이터 변신 아주IB투자200억 규모 신규펀드 조성 예정,0
아주IB투자 2Q 영업익 123억원전년比 209↑,0
아주IB투자 10 이상 상승 주가 상승세 단기 이평선 역배열 구간,1
마켓인아주IB투자 바이오 광폭 횡보투자규모 확대·수익실현 박차,1
시그널 아주IB투자 코로나19에 바이오투자 성과 가시화,0
아주IB투자 10 이상 상승 전일 외국인 대량 순매수,1
아주IB투자 10 이상 상승 전일 외국인 대량 순매수,1
아주IB투자 10 이상 상승 주가 20일 이평선 상회 단기·중기 이평선 역배열,1
아주IB투자 10 이상 상승 주가 5일 이평선 상회 단기·중기 이평선 역배열,1
아주IB투자 10 이상 상승 기관 24일 연속 순매수2282만주,1
아주IB투자 지난해 영업이익 217억전년 대비 452↑,1
시그널 역대 최고 이익 달성한 아주IB투자···AUM 2조원 시대 자신,1
아주IB투자 주당 35원 현금배당 결정,0
표아주IB투자 등 코스닥 자사주 신청내역12일,0
표아주IB투자 등 코스닥 자사주 신청내역11일,0
표아주IB투자 등 코스닥 자사주 신청내역10일,0
제목,0
특징주 다이노나 덕분에 금호에이치티·에스맥 강세,1
특징주에스맥·금호에이치티 다이노나 임상 1상 승인에 강세,1
